source,sample_date,analyte,data,uniqueID
OCEAN#15EAST_SL,2020/09/28,COLI_E,10,4E6FE985035FC8CE5C30A4D4638EBB81
OCEAN#18_SL,2020/09/28,COLI_E,<10,4EBCD97844064CCFCDE64A04C934B0A2
BAY#301.1_SL,2020/08/10,COLI_TOTAL,934,5F567CA8A7E3AA33084AAB04F2C7CE8B
BAY#202.5_SL,2020/08/10,COLI_TOTAL,145,60E0AAAB55D9C7AF21CB52A0EEA95A11
OCEAN#15_SL,2020/08/31,COLI_TOTAL,309,5686D71134A8BA73E59BB21BE6878C06
OCEAN#16_SL,2020/08/31,COLI_E,<10,5B300FB255B8718F6AEB81C53876672C
BAY#301.2_SL,2020/09/29,COLI_E,63,50DB15F574ED5252D80EAB1EE780CD87
BAY#211_SL,2020/08/10,COLI_TOTAL,31,62F9647AB31E1FB8DAD42F569B4E1F70
OCEAN#19_SL,2020/08/10,COLI_E,<10,69BBC4FF9B0FF681D3920D3793501071
BAY#202.5_SL,2020/08/10,ENTERO,10,71503CC7A3D1035AD8AAE4D99F5F278F
BAY#202.4_SL,2020/08/10,COLI_E,<10,75E5D47FA5B1A95309E3E19D8D0C11C2
OCEAN#15EAST_SL,2020/08/10,COLI_E,<10,806689F22C97CB20893F2D73CF69BE20
BAY#301.2_SL,2020/08/10,COLI_E,10,829642FC7F99F946E2E5E14C23BADD5A
BAY#211_SL,2020/08/10,ENTERO,10,8D218C8C5FF98486D39CC35FA3DF723D
BAY#220_SL,2020/08/10,COLI_E,<10,8DA74AFFA7D909F4B674455FB3704BF9
OCEAN#15_SL,2020/08/10,COLI_E,<10,8E9A60C9C4E2B2183BF5D7D6C46853F0
OCEAN#21.1_SL,2020/08/10,COLI_TOTAL,<10,92EB886EDE592AB75451C37B74AD63BA
OCEAN#15EAST_SL,2020/08/10,COLI_TOTAL,75,936379962243970ABDF27D3E004C5E01
OCEAN#16_SL,2020/08/10,COLI_TOTAL,<10,939A3565305680E37C674191B772B148
BAY#202.5_SL,2020/08/10,COLI_E,<10,99D3ED6E0440CCCF22A252BF7F3B4F41
BAY#220_SL,2020/08/10,COLI_TOTAL,422,9D690511CF336D47590FAA8C94AC9093
BAY#300.1_SL,2020/08/10,COLI_TOTAL,3968,AD89C1468660B55AA45C6098F9649E25
BAY#320_SL,2020/08/10,COLI_TOTAL,175,AF5B08B0E19BD89D0CDF84BCDFF24109
OCEAN#19_SL,2020/08/10,ENTERO,<10,B52D212E4BD29EECF00380DCC246C06D
OCEAN#17_SL,2020/08/10,COLI_E,<10,B854029EE89C6BA00857DB23BCF7D54B
OCEAN#15_SL,2020/08/10,COLI_TOTAL,455,BD8A41EC15DFF357C3568BF6740E9FD3
BAY#301.2_SL,2020/08/10,ENTERO,<10,C75C850CDE108AF4371EB23BBED6FFF5
BAY#202.4_SL,2022/03/02,COLI_FECAL,<5,178E655C5F8D9070624B1320D72C1532
BAY#202.4_SL,2020/08/10,COLI_TOTAL,565,CB6BCF41A26DE3752080F9AC4F64B2CB
OCEAN#18_SL,2020/08/10,ENTERO,<10,CC719433F6261BE130EBB8555CE56BA4
BAY#301.1_SL,2020/08/10,COLI_E,31,D43FDAC7ECBC24587AC4E43A539B4BDD
OCEAN#17_SL,2020/08/10,ENTERO,<10,DE6D16273334B5EE1C49D1FD54BDDAC4
BAY#301.2_SL,2020/08/10,COLI_TOTAL,737,E6BDC10BC328EB17FF738585654419FC
BAY#202.4_SL,2020/08/31,ENTERO,10,6283B8C8C6BDFEA9601E05B8FCC9E3B6
OCEAN#17_SL,2020/08/10,COLI_TOTAL,<10,F2EBE5A65BAFA5DA74DF9595A95EF987
BAY#301.1_SL,2020/08/10,ENTERO,<10,F81BF6FA078DD29AF21C7D9F9EB5233A
BAY#300.1_SL,2020/08/31,ENTERO,10,633AC4D7C4554C03652E01D869628FF7
OCEAN#15EAST_SL,2020/09/01,COLI_E,<10,6FF6F827FFD353359A90FED61AD00952
OCEAN#15_SL,2020/08/31,ENTERO,120,722A1FF1F0FD8E229C3FE7F8521809FA
OCEAN#17_SL,2020/08/31,ENTERO,<10,8106A90C6079C2477DB7AD6E0551E2F2
BAY#202.4_SL,2020/08/31,COLI_TOTAL,644,83346A0820805F678BA5D144B2A4513E
OCEAN#15EAST_SL,2020/08/31,COLI_TOTAL,109,8EF60D89F962956C2D11740B85783139
OCEAN#15_SL,2020/09/01,ENTERO,146,904E5FD61A334B0C7D03326924049D1E
BAY#202.5_SL,2020/08/31,COLI_E,<10,90557B0626F41A5768302FA1B8BF6B1F
BAY#301.1_SL,2020/08/31,ENTERO,<10,92B43933A42705A965F3CCD653E62D12
BAY#320_SL,2020/08/31,ENTERO,<10,94782D36158CF166A85E313570AC7921
BAY#301.1_SL,2020/08/31,COLI_E,20,966CCB65CC861B7C9980639742A96D01
OCEAN#15EAST_SL,2020/08/31,ENTERO,10,98332B0213B09CC755F507A5F3CDD8D2
BAY#301.2_SL,2020/08/31,COLI_E,10,A0D1D92371232D0A2343ADD21441A0AF
BAY#320_SL,2020/08/31,COLI_E,31,A146EFE314F973D5DA6A518CFAC749A5
OCEAN#15EAST_SL,2020/09/01,ENTERO,10,A508B56AF7E1438B9CBA9465DC578B63
BAY#300.1_SL,2020/08/31,COLI_E,30,A8D509DF840A766EB1429D7B664EE9D1
BAY#300.1_SL,2020/08/31,COLI_TOTAL,543,AF5D372E2977AF0DC3C748CBC002B8D4
BAY#220_SL,2020/08/31,ENTERO,10,B20B24E6C68A1D12382BA2DAA3145644
OCEAN#19_SL,2020/08/31,COLI_TOTAL,41,B342D4BB15CBE7913BA096397F2570A7
OCEAN#21.1_SL,2020/08/31,COLI_TOTAL,20,B61D1442B21162BCB3F0855C78CF8DBA
OCEAN#18_SL,2020/08/31,ENTERO,<10,C0AC2039B3E7F3216F24D4FB9440ECF7
BAY#301.1_SL,2020/08/31,COLI_TOTAL,4884,C34A0AD27D4168CC8FE3B2F970FC776F
OCEAN#15EAST_SL,2020/09/02,COLI_E,10,C524741B83B134246B56A99506E9D263
BAY#202.5_SL,2020/08/31,COLI_TOTAL,63,C5B4A0A88161F583373FF3DE5C1928D3
BAY#211_SL,2020/08/31,ENTERO,52,C85F35B566CB6ADE8D65AAF59DD4CF66
OCEAN#19_SL,2020/08/31,ENTERO,<10,D1448EEDB81FB298A87B46BA6417E9A5
BAY#301.2_SL,2020/08/31,COLI_TOTAL,820,D221F8E031CE066548BD1C4C6C96EC3E
OCEAN#15_SL,2020/09/02,COLI_E,134,D7232523331EA17E15945ECC17ADA733
BAY#220_SL,2020/08/31,COLI_TOTAL,292,DBE00473A5CEB2D025F9CA0C4D070D73
BAY#202.4_SL,2020/09/28,COLI_TOTAL,121,5157492F4FE4BE361CDA6A845845C603
OCEAN#15EAST_SL,2020/09/28,ENTERO,<10,529C741F26BDD9F97B7557513CE66992
BAY#202.5_SL,2020/09/28,COLI_E,20,5328E7C2A8CBEB702EF1837F85FFF201
OCEAN#15_SL,2020/09/28,COLI_TOTAL,820,5538FC184DB687298C28C0F2D5A1B6BF
BAY#301.2_SL,2020/09/28,ENTERO,<10,5F11974E937F5CE2387B926EC84AA10C
BAY#301.1_SL,2020/09/29,ENTERO,<10,69697AFAB564BB02CBC45DE8C7831B3C
BAY#211_SL,2020/09/28,COLI_TOTAL,52,6E8A3084CA066348CE3E742C633F2880
OCEAN#16_SL,2020/08/31,ENTERO,<10,DE050622AF317EDC90D3BE99F91DF582
OCEAN#15_SL,2020/09/02,COLI_TOTAL,388,E7D7D7BB3600778E100DBE27A6793E16
OCEAN#21.1_SL,2020/08/31,COLI_E,<10,E99154237AF607123A22BAC8D4F8A6B8
OCEAN#15EAST_SL,2020/09/01,COLI_TOTAL,109,EA19269B7771C9B1FD4CDFD721BD99E8
OCEAN#16_SL,2020/09/28,COLI_TOTAL,298,701D0D89DEBC532CFD64167DF4B1D566
OCEAN#15_SL,2020/08/17,COLI_E,20,02B6DA9C41F02E064509CE39824D1230
OCEAN#15_SL,2020/08/17,COLI_TOTAL,52,08F1B2093032836CDABA76814B7852D4
BAY#320_SL,2020/08/18,ENTERO,<10,0CFDB46BEA8BCD49F817C480480ED773
BAY#301.2_SL,2020/09/28,COLI_TOTAL,2310,8073EFE7AD376FBAE56270606F765CF0
BAY#202.5_SL,2020/09/28,ENTERO,<10,838AAC2B0A5D2607CA4B38BC4DA99255
BAY#301.2_SL,2020/08/31,ENTERO,<10,EB3B71E1F39237426FE57BE11D69F896
BAY#320_SL,2020/08/31,COLI_TOTAL,6131,F739BF1628A3F23D911DAC44101524A5
BAY#220_SL,2020/08/31,COLI_E,20,FBE693A0A89749786E5D2D143BD56C02
BAY#202.4_SL,2020/09/21,COLI_E,41,08173B6987296D834AA48DFBE1294204
OCEAN#17_SL,2020/09/28,ENTERO,<10,8BEF0A0C8A573414AC215BAB57C66586
BAY#301.1_SL,2020/09/28,ENTERO,30,9752CDBB600762144EA67A30B52AC04E
OCEAN#16_SL,2020/09/28,ENTERO,<10,985686B839B1C9FF51254853017780CB
OCEAN#15EAST_SL,2020/08/17,COLI_E,<10,126151AA8CB494D8B24BA94D9466EFC6
BAY#211_SL,2020/08/17,COLI_E,20,1750D0D0B6F890040FE1D6AABCC518CE
OCEAN#19_SL,2020/09/21,ENTERO,<10,098A31DF087A9BA420224E70483EA4D3
BAY#202.4_SL,2020/09/28,ENTERO,<10,9955D43F46E0CF214C3D212568094BFD
OCEAN#17_SL,2020/09/21,COLI_E,20,09CF1BAEF3034402514A0795ED4CFCF8
BAY#301.2_SL,2020/09/28,COLI_E,481,A0D95D6B909C738135DFE83B154086A9
BAY#202.4_SL,2020/08/17,ENTERO,<10,2B09AC3CE9695B762D7DAC159BB69B15
OCEAN#15_SL,2020/09/28,ENTERO,10,A1B9408AC548A2BE39AABC23EA1EC531
BAY#220_SL,2020/09/21,COLI_TOTAL,616,0EDA782CF190C5374F2E196E9E96C7C0
BAY#202.5_SL,2020/08/17,ENTERO,<10,3083ECF89B39B21D2946176F5C349F99
BAY#220_SL,2020/09/28,COLI_E,31,A2E02C01139951E1CBBAC98B0B9ED5FC
BAY#301.2_SL,2020/08/18,ENTERO,10,31FD779733E1F204F7FCAA1E1A053601
OCEAN#15EAST_SL,2020/09/21,ENTERO,<10,241E46B9A6FD52BDECCE9F1A18FC6BB0
OCEAN#15EAST_SL,2020/09/28,COLI_TOTAL,30,AAFCF062C2BED1ECD2D87913CF4B71C7
OCEAN#15_SL,2020/08/17,ENTERO,<10,34B06ABE773AF1007783AC2AF8AE3913
BAY#220_SL,2020/08/17,COLI_TOTAL,336,3C574AEAA75A6B22DD66802F82EB1B4D
OCEAN#17_SL,2020/09/28,COLI_E,10,B036A6E102FC1F1D577EBAE3E9DD7270
BAY#211_SL,2020/09/21,COLI_TOTAL,120,24A09B12E5E566D5E24E3E1CB0775BD4
BAY#320_SL,2020/09/21,ENTERO,<10,2FAB473ABC76A09C1C2A6F132C4F191C
BAY#301.2_SL,2020/09/29,ENTERO,10,B11CD416A712EF9A95BFD61BBE3F8F94
BAY#300.1_SL,2020/09/21,COLI_E,63,35B12D62E5CA2D0DE0D5C5806726CA74
BAY#211_SL,2020/09/21,COLI_E,<10,35E41C601EA0D879B5CA45E077170E5C
BAY#301.1_SL,2020/08/17,ENTERO,521,3ED58C59A134751A618A98CCD3214EE2
OCEAN#15_SL,2020/09/21,COLI_TOTAL,10,3986C954BB8EB13FAB6BF955A50FB396
OCEAN#21.1_SL,2020/09/21,COLI_E,10,47C45F50E4C9D98E3CB0158B24969C61
BAY#320_SL,2020/09/21,COLI_E,10,4A4885CE86EE745574F1C47A4548EE0E
BAY#211_SL,2020/08/17,ENTERO,<10,3FC6678FF87A4E7A509E2EDC34A94AA1
BAY#301.1_SL,2020/09/29,COLI_E,282,B50C3F14C3DD6CA5AEE7E4554D2530DF
BAY#300.1_SL,2020/09/28,COLI_E,85,B700E3D94C628340526E306D194C6F63
OCEAN#19_SL,2020/09/28,COLI_TOTAL,20,B74DF6150EF918CA07C07AC475D86D88
BAY#220_SL,2020/09/28,COLI_TOTAL,422,BBE9BAB82527442E5B397A7BFAFF5042
BAY#211_SL,2020/08/17,COLI_TOTAL,63,43A42114842C9A899CF3EF193A8DCCD3
OCEAN#19_SL,2020/08/17,COLI_E,20,45591AE7068F2E46ADD164BC635026A6
BAY#202.5_SL,2020/09/28,COLI_TOTAL,31,BF6F8E32C7BB6CF2B6D7FF2C1F5DCBF7
BAY#320_SL,2020/08/18,COLI_E,20,4DFA49591DA57FD35D8A168AFF1B60C5
OCEAN#18_SL,2020/09/28,COLI_TOTAL,31,BF7B47C66434F6D756E9AC4AFBE83E15
BAY#220_SL,2020/08/17,ENTERO,<10,50E1CE96C0BE32933D46E081FFDE0067
BAY#320_SL,2020/09/28,COLI_TOTAL,934,BF9E3395585DC86F315CA660CD89BC91
BAY#220_SL,2020/09/28,ENTERO,<10,CBAFD9911D5B7299B543A95D6CEB82F9
OCEAN#19_SL,2020/09/28,ENTERO,<10,E1C4C6DC16D768DA368BB0B78A668379
OCEAN#21.1_SL,2020/08/17,COLI_E,20,5C9C141D4B8E9302EC54B1F7E773B919
OCEAN#16_SL,2020/09/21,ENTERO,<10,4BF3E4202ABE88DCF3D1E80871EF3182
OCEAN#21.1_SL,2020/09/28,COLI_TOTAL,10,E73D624EC9679ED34280271BDE5F9212
BAY#211_SL,2020/09/28,ENTERO,<10,F83778497F356693749A49281D51D944
OCEAN#16_SL,2020/08/17,COLI_TOTAL,10,5E9511B0A1861D920E214A52334B019F
BAY#301.2_SL,2020/08/17,COLI_TOTAL,364,5F576770B20A34FE22507F4FB70EC848
BAY#301.1_SL,2020/08/17,COLI_E,2359,6246CDF817A01BAECF8369F425F8E629
OCEAN#17_SL,2020/08/17,COLI_E,146,62AA5A7F5BF37771E676C52372D36568
BAY#202.4_SL,2020/08/17,COLI_TOTAL,332,67C6CA9DC1019631C09CC048A9BD7DDB
BAY#301.1_SL,2020/08/18,COLI_TOTAL,3654,68DC1BB5A25CFACF9739D95DDA738544
BAY#202.4_SL,2020/08/17,COLI_E,96,6A3095984261FA5F2E6232AC47DF65F0
BAY#320_SL,2020/08/17,COLI_TOTAL,932,6ADF367686400E5069CD1B3D4EC5C3AD
OCEAN#18_SL,2020/08/17,COLI_E,<10,6B3E7873A1316D30B05E7FBB821224E0
BAY#301.1_SL,2020/08/18,ENTERO,187,6E909F3452FF80494FD6F5BE02D0B6B2
BAY#301.1_SL,2020/08/19,ENTERO,20,76CA637D2E832DD136BEA0D59303B238
BAY#320_SL,2020/08/18,COLI_TOTAL,187,7D28CECED09C357246730A6194A994EB
BAY#301.1_SL,2020/08/17,COLI_TOTAL,19863,7EB2E535D5590F7B087C23943E75C523
OCEAN#19_SL,2020/08/17,ENTERO,10,848267D035A4A31BED269E9405DDABC1
BAY#301.1_SL,2020/08/18,COLI_E,683,8A55F03F52AAF18A5741EC005EDA508D
BAY#202.5_SL,2020/08/17,COLI_E,10,8A5DE2732FAEB876240EDCDE22D48E4B
OCEAN#18_SL,2020/08/17,COLI_TOTAL,31,8B70F28F0CF40B6471EA3A0A05B6ABF0
BAY#301.2_SL,2020/08/18,COLI_E,31,8B82A11DF326857DCF18E8EF74D3594F
BAY#301.1_SL,2020/08/19,COLI_TOTAL,845,95A8718BBF2F4F15DC0DDD1826AABFE5
OCEAN#15EAST_SL,2020/08/17,ENTERO,<10,97F97411D736CEDB6C3FCD206EC338C0
BAY#320_SL,2020/08/17,ENTERO,399,9B5EC234145B53F5A08C918ADB3ECA48
OCEAN#15EAST_SL,2020/08/17,COLI_TOTAL,20,A101F451E89FB540E2DCE607F0CFB34B
OCEAN#17_SL,2020/08/17,COLI_TOTAL,201,AE499057FAE9CC1ED24B10DA6D552451
OCEAN#17_SL,2020/08/17,ENTERO,<10,AE57DE8566F3456B5CB00EAD3F716D7B
BAY#301.1_SL,2020/08/19,COLI_E,31,B68BB1F3E6B4C4361B254A792D285DAB
OCEAN#16_SL,2020/08/17,ENTERO,<10,BC0C1972EC8FCC0FFC3B9F6559BCC17A
BAY#202.4_SL,2020/10/05,COLI_TOTAL,122,0236B256EB73FA5B2CA8FF4EA2E17EFB
BAY#202.5_SL,2020/10/05,COLI_E,<10,03E9223C45359B1D3716FAF6BFE0D748
BAY#320_SL,2020/10/05,COLI_E,<10,0B76F0C022EAB0C2F03B986E3355B78C
BAY#301.2_SL,2020/08/18,COLI_TOTAL,307,C065748F28807A129C54799228AFF70C
BAY#202.4_SL,2020/07/27,COLI_TOTAL,97,08521D8238BE6AF8D84BF601D0597BED
BAY#202.4_SL,2020/10/05,COLI_E,41,17E97AC5F25BBC36FC3F6727F57FD601
BAY#320_SL,2020/10/05,ENTERO,<10,1BEAF53505915046A0DAE10A4423C206
OCEAN#19_SL,2020/08/17,COLI_TOTAL,63,C352D83DA2CD1E3ADDA1A52F6D829726
BAY#301.2_SL,2020/10/05,COLI_TOTAL,209,27F12869FE8D607728C65E17F3429FF7
BAY#301.2_SL,2020/08/17,COLI_E,10,C5319DB9C732F02709C9419CB37DA0D1
BAY#320_SL,2020/08/17,COLI_E,110,C6327830B3A0A809EB4E3CC5F7CD1A4F
OCEAN#19_SL,2020/10/05,ENTERO,<10,28CD9282F75861302732143267834771
OCEAN#21.1_SL,2020/08/17,COLI_TOTAL,41,C63C1949D27AA35EE86230A41AADE10C
BAY#301.1_SL,2020/07/27,ENTERO,10,0D30311E954B4328FE3EB3D9565EE066
BAY#211_SL,2020/10/05,COLI_E,30,306AE51F1AE8382E8D54479E86EA5D3C
BAY#202.5_SL,2020/08/17,COLI_TOTAL,20,CB9ED36FE04845B1DB14A04654206053
BAY#301.2_SL,2020/10/05,ENTERO,<10,30E3DE7A3D115A683369B8DD42A37480
BAY#202.4_SL,2020/07/27,COLI_E,20,0D8336DB73915F4EE2A83067A9DA8D92
OCEAN#21.1_SL,2020/10/05,ENTERO,10,33588EA97EBE6CE18969A41D085F0A4C
OCEAN#19_SL,2020/10/05,COLI_E,<10,35A503678A258AFE5096A896D5F3D904
OCEAN#17_SL,2020/10/05,COLI_TOTAL,52,4139C6374105E531D3A5ED8BAA47F9BC
BAY#301.2_SL,2020/07/27,COLI_TOTAL,223,1115FD980FEBB409402E66D87E710A73
OCEAN#18_SL,2020/10/05,COLI_E,10,413CD22A26330110466296DC6A54432C
OCEAN#19_SL,2020/07/27,ENTERO,<10,15DC5C7C8603375F8747CD62DF248AC4
BAY#300.1_SL,2020/07/27,COLI_TOTAL,560,164B320A24C7E252FF499CF8A8608440
BAY#320_SL,2020/07/27,COLI_TOTAL,160,2272B0D0D87DE4E71D39454EA82857E6
BAY#300.1_SL,2020/08/17,COLI_E,145,D0697299063B840B6BB21CE079EA4791
OCEAN#19_SL,2020/07/27,COLI_E,<10,2D9507016F130EE5C0099BBACB20EA18
BAY#320_SL,2020/07/27,COLI_E,<10,2DE212FA6CF34C51F31CD86C6FD62B13
OCEAN#21.1_SL,2020/08/17,ENTERO,30,D0938175AE971450BFE326EEC951E201
OCEAN#17_SL,2020/07/27,COLI_TOTAL,<10,3E602BA40F662958BD0227EE1CE9D172
BAY#220_SL,2020/08/17,COLI_E,86,D49385858EFE0C31ABEF62646B667E0D
OCEAN#16_SL,2020/07/27,ENTERO,<10,4171FC349ABAF270EE49514CD329B6FA
OCEAN#16_SL,2020/10/05,COLI_E,<10,47F44604FC0393D840D24C35200A1A82
OCEAN#15_SL,2020/10/05,COLI_E,<10,48C41B87BF2EA9E3814055E6EEA6A340
OCEAN#18_SL,2020/08/17,ENTERO,<10,E03FCA489C65574FC8C7ACB8D02045C9
BAY#301.2_SL,2020/08/17,ENTERO,448,E3A4F26977DEE9382E2E1468EB0DEA52
BAY#300.1_SL,2020/08/17,ENTERO,10,E8454B0EC221FB6AE90DDF72D7299B61
BAY#211_SL,2020/07/27,COLI_E,10,434BF560DA4E8072C94EFF746D1A6F1C
OCEAN#16_SL,2020/08/17,COLI_E,<10,EFAAD7B1335774AB05BA512B5B56FB08
BAY#300.1_SL,2020/08/17,COLI_TOTAL,1012,F13442B20A451AD21802093942BF7742
BAY#301.2_SL,2020/09/09,ENTERO,41,008DB76A61C5E77EC53972C16B88B6D3
BAY#211_SL,2020/07/27,COLI_TOTAL,31,4719C102EB5612761ABC1BBE495C2D84
BAY#300.1_SL,2020/07/27,ENTERO,98,47AA07A59B5D3CFC3F1E571E936A4BC9
OCEAN#17_SL,2020/09/08,COLI_TOTAL,31,0113F296703A8CC080A73BC95AC08AF9
BAY#220_SL,2020/07/27,COLI_E,20,55FDEF24DEF83408D498E5C6CD4263AB
BAY#301.2_SL,2020/09/08,COLI_E,31,040678976CA5A5AB17A429A6F765995B
OCEAN#21.1_SL,2020/07/27,COLI_TOTAL,30,60FBD635D67B53D1CD3D1E2CE1B18473
OCEAN#21.1_SL,2020/09/08,ENTERO,<10,0778999E2DE64C1D513922BA01237D40
BAY#202.4_SL,2020/10/05,ENTERO,<10,4BD7169B47711556947B20D4DDCAFC53
OCEAN#15_SL,2020/07/27,COLI_TOTAL,1354,6575AFEE2B4EFE6BD11E222466CD4D35
OCEAN#19_SL,2020/09/08,ENTERO,<10,0828C74796094A9EEA73231FB8DD98A1
BAY#300.1_SL,2020/07/27,COLI_E,<10,669C7BD1E4AE19C3F1C14E3F3BEF401D
BAY#301.1_SL,2020/09/08,COLI_TOTAL,1354,0D5BD34502F9A3034A51052FC7FDBAEB
OCEAN#15EAST_SL,2020/10/05,COLI_E,20,5A708CF7C32DA4CD8709C5590C231F0E
OCEAN#19_SL,2020/09/08,COLI_E,<10,14CF98A77FCFBE034C5509388DC9455B
BAY#320_SL,2020/10/05,COLI_TOTAL,62,5BA28470DF5BFE9FE1EB5AA3F554DEC0
BAY#211_SL,2020/09/08,COLI_E,20,18F23201267B2298ADB26C124DBD7339
OCEAN#16_SL,2020/09/09,COLI_E,<10,1EB50B3EDC88375140B64444117309D4
OCEAN#16_SL,2020/10/05,ENTERO,<10,5F6ED82FDF5E5DCF7A88A4B0022AA867
BAY#320_SL,2020/08/24,COLI_E,20,067F36C79BADDE7538B0E9D523EDF5F2
OCEAN#17_SL,2020/08/24,COLI_E,<10,0B3FD104FFCE2C9C37FC883963D00600
OCEAN#15_SL,2020/08/24,COLI_E,171,0C4237DF7FE4902E45B746DED194263B
BAY#211_SL,2020/10/05,COLI_TOTAL,97,6292D028C56AF53C8F4F55BCF0E0157E
OCEAN#18_SL,2020/07/27,COLI_E,<10,6DEAF1A14CCCAD516796CCC084BB70D1
